番号,質問,選択肢1,説明_1,選択肢2,説明_2,選択肢3,説明_3,選択肢4,説明_4,選択肢5,説明_5,correct,domain
327,正誤問題: マスターデータとラベル付けされていなくても、すべての組織はマスターデータを保有している。,FALSE,誤りです。すべての組織は、それを認識しているかどうかに関わらず、本質的にマスターデータを保有しているため、この記述は誤りです。マスターデータはあらゆる組織の機能にとって不可欠なものであり、組織内の様々なシステムやプロセスに様々な形で存在します。,真実,正解です。たとえ明示的にマスターデータと明記されていなくても、すべての組織はマスターデータを保有しています。マスターデータとは、顧客情報、製品データ、従業員記録など、組織の運営に不可欠な中核的なデータエンティティを指します。どのように識別または管理されているかに関わらず、すべての組織はビジネスプロセスの基盤となる重要なデータを保有しています。,で,で,で,で,で,で,2,10 Reference & Master Data
328,ある銀行は、各顧客が1つまたは複数の口座を所有でき、各口座は1つまたは複数の顧客に所有されるというビジネスルールを適用しています。最も適切な関係タイプはどれでしょうか？,1対多,1対多の関係タイプは、質問で説明されているシナリオには最適ではありません。これは、各アカウントを所有できる顧客が1社のみであることを意味するためです。しかし、ビジネスルールでは、各アカウントは1社以上の顧客によって所有される必要があると規定されているため、1対多の関係では不十分です。,一対一,1対1の関係タイプは、質問で説明されているシナリオには最適ではありません。これは、各顧客が1つのアカウントのみを所有でき、各アカウントを所有できるのは1人の顧客のみであることを意味するためです。しかし、ビジネスルールでは、各顧客が1つまたは複数のアカウントを所有でき、各アカウントを1つまたは複数の顧客が所有できることが許可されているため、このシナリオでは1対1の関係は制限が厳しすぎます。,多対一,多対1の関係タイプは、質問で説明されているシナリオには最適ではありません。これは、各顧客が所有できるアカウントが1つだけであることを意味するためです。しかし、ビジネスルールでは、各顧客が1つまたは複数のアカウントを所有できると規定されているため、多対1の関係は顧客とアカウントの関係を表現するには不十分です。,多対多,質問で説明されているシナリオでは、各顧客が1つまたは複数のアカウントを所有し、各アカウントは1つまたは複数の顧客に所有される必要があるため、多対多の関係タイプが最も適しています。この関係タイプでは、複数の顧客を複数のアカウントに関連付けることができ、ビジネスルールを効果的に満たすことができます。,再帰的,再帰的な関係タイプは、質問で説明されているシナリオには最適ではありません。これは通常、エンティティが自身と関連する関係を伴うためです。この場合、顧客とアカウントの関係は再帰的ではなく、複数の顧客が複数のアカウントを所有する関係です。,4,5 Data Modelling and Design
329,参照システムへのデータの独立した更新により、次のような事態が発生する可能性があります。,マスターデータの不整合,参照システムへのデータの独立した更新は、異なるソースが矛盾する情報で同じマスター データ エンティティを更新する可能性があるため、マスター データの不整合につながり、データに矛盾や不正確さが生じる可能性があります。,データベースのデッドロック。,参照システムへのデータの独立した更新は、データベースにおけるデッドロックの発生とは直接関係ありません。デッドロックは通常、2つ以上のトランザクションが互いのリソースロックの解除を待機しているときに発生し、処理が進行しないデッドロック状態につながります。,トランザクション データの不整合。,トランザクション データの不整合は、参照システム内で異なるソースがトランザクション データを個別に更新した場合に発生する可能性があり、トランザクション データ レコードに不一致、エラー、競合が発生します。,参照データの不一致,参照データの不整合は、異なるソースが参照システム内の参照データ値を個別に更新した場合に発生する可能性があり、組織全体で使用される参照データに不一致や競合が生じます。,重複データ,参照システムへのデータの独立した更新では、適切な同期やデータ ガバナンス プロセスが実施されていない状態で複数のソースが同じデータを挿入すると、データが重複し、冗長で矛盾する情報が発生する可能性があります。,1,13 Data Quality
330,データ技術は急速に多様化しているため、新しいタイプの技術を取得する際には、次のどれを考慮する必要がありますか？,現在インストールされているデータテクノロジーのパフォーマンスレベル,現在導入されているデータテクノロジーのパフォーマンスレベルは、ベンチマークや比較検討において重要ですが、新しいテクノロジーを導入する際には、それだけを考慮すべきではありません。テクノロジーにはそれぞれ独自のパフォーマンス特性と機能があるため、組織のニーズに照らし合わせて、新しいテクノロジーの具体的な要件と機能を評価することが不可欠です。,現在使用中のサーバーの数,現在使用されているサーバーの数は、キャパシティプランニングやリソース割り当てには関連しますが、新しいテクノロジーの導入とは直接関係しません。新しいテクノロジーの具体的な要件と、それが組織の目標や目的とどのように整合しているかに焦点を当てるべきです。,現在のデータ保持ポリシー,現在のデータ保持ポリシーは、データガバナンスとコンプライアンスの観点から重要ですが、新しいテクノロジーの導入決定に直接影響を与えるとは限りません。データ保持要件はテクノロジーの評価において考慮すべきですが、新しいテクノロジーを導入する際に考慮すべき主要な要素ではありません。,テクノロジーが解決しようとしている問題と、すでに導入されているソリューションスタック,新しいタイプのテクノロジーを導入する際には、そのテクノロジーが解決しようとしている問題と、既存のソリューションスタックにどのように適合するかを検討することが重要です。具体的なユースケースを理解し、新しいテクノロジーが既存のインフラストラクチャとどのように統合されるかを理解することこそが、導入を成功させ、最適なパフォーマンスを実現するために不可欠です。,現在のソリューションに接続しているユーザーの数,現在のソリューションに接続しているユーザー数は、ユーザーアクセスと拡張性の検討に関連しますが、新しいタイプのテクノロジーを導入する際には、それを主な要因とすべきではありません。現在のソリューションに接続しているユーザー数だけでなく、新しいテクノロジーの機能、機能性、そして組織の要件との互換性に重点を置くべきです。,4,4 Data Architecture
331,ビジネス ルールに関する次の記述のうち、誤っているものはどれですか。,データルールは、データが他のデータとどのように関係するかを制約します,データルールは、データ同士の関係性を制約します。これらのルールは、異なるデータ要素間の関係性と依存関係を定義し、データモデルの一貫性と正確性を確保します。,データモデリングプロセスを開始する前に、すべてのビジネスルールを特定する必要があります。,データモデリングプロセスを開始する前に、すべてのビジネスルールを特定する必要はありません。ビジネスルールは、ビジネス要件とデータ間の関係性への理解が深まるにつれて、データモデリングプロセス全体を通して進化し、洗練されていきます。,アクションルールは、データ要素に特定の値が含まれている場合に何をするかについての指示です。,アクションルールとは、データ要素に特定の値が含まれている場合に何をすべきかを指示するものです。これらのルールは、特定のデータ条件に基づいて実行されるアクションまたはプロセスを定義し、システム内での意思決定とデータ処理の自動化に役立ちます。,アクションルールをデータモデルで定義するのは難しい,アクションルールはデータモデルで定義できますが、データルールと比較して追加の考慮事項が必要になる場合があります。アクションルールは、データ内の特定の条件またはトリガーに基づいて実行されるアクションまたは操作を指定するもので、ビジネスロジックとワークフローの適用に不可欠です。,データルールはデータモデルに表示できません,データルールはデータモデル上に表示できます。データルールは、データモデル内のデータ要素、関係、属性に対する制約と要件を定義し、データの品質と整合性を確保する上で重要な役割を果たします。,5,5 Data Modelling and Design
332,データ発行プロセスの導入後、最初の1か月間は問題は記録されていません。その理由としては、以下が考えられます。,企業内にデータの問題はない,企業内にデータに関する問題が全く存在しない可能性もあるものの、この選択は、データ問題処理プロセスの導入後1ヶ月間に問題が記録されなかったことの正当な理由にはなりません。問題が報告されなかった理由として考えられる他の要因を考慮することが重要です。,スタッフが遅くまで残業して、問題をシステムに入力しています。,スタッフが残業してシステムに問題を入力したとしても、最初の月にデータに問題が記録されなかった正当な理由にはなりません。データに問題が存在するかどうかは、スタッフが残業して問題を報告したかどうかに左右されるべきではありません。,データベース内のすべての問題を自動的に削除します。,データベース内のすべての問題が自動的に削除されるだけでは、最初の月に記録された問題データがない理由を説明できません。すべての問題が自動的に削除されたとしても、新たな問題が発生し、システムに記録されることが予想されます。,残業申請の拒否方法が変わります。,残業申請の拒否は、最初の月にデータの問題が記録されない正当な理由にはなりません。残業申請が拒否されたとしても、企業内のデータの問題の報告や記録には影響しません。,データガバナンスプロセスの信頼性の欠如が影響を与える,データガバナンスプロセスの信頼性の欠如は、データに問題があっても、報告や記録が不十分になる原因となります。ステークホルダーがプロセスを信頼していない場合、または問題を報告することの価値を理解していない場合、問題を報告しない可能性があり、結果として、問題が存在するにもかかわらず記録されないという事態に陥る可能性があります。,5,1 Data Management
333,データベース操作の最適なデータベースパフォーマンスを保証するために、スタッフは次のどれを行う必要がありますか?,ユーザーが画面上で待機できる時間について話し合う,ユーザーが画面上で待機できる時間について議論することは、ユーザーエクスペリエンスの観点からは重要ですが、データベース全体のパフォーマンスに直接影響を与えるとは限りません。データベースパフォーマンスの最適化には、ユーザーインターフェースの応答性以外にも、様々な技術的な考慮事項が関係します。,データアーキテクトとパフォーマンス要件について話し合う,データアーキテクトとパフォーマンス要件について話し合うことは、データベース運用に対する具体的なニーズと期待を理解する上で不可欠です。データアーキテクトと協力することで、スタッフはデータベースがパフォーマンス目標を効果的に達成できるように設計・最適化されていることを確認できます。,ヘビーユーザーのアクセス権を取り消す,ヘビーユーザーのアクセス権を取り消すことは、過剰なリソース消費によって引き起こされるパフォーマンスの問題を軽減するのに役立つ場合がありますが、データベースのパフォーマンスを最適化するための包括的なアプローチではありません。ユーザー管理、クエリの最適化、システムチューニングを組み合わせてパフォーマンスの問題に対処することが不可欠です。,表の行数を減らす,テーブルの行数を減らすことでデータベースのパフォーマンスはある程度向上しますが、最適なパフォーマンスを保証するための最も包括的なソリューションではありません。インデックス、クエリの最適化、ハードウェア構成といった他の要因も、データベースのパフォーマンスに重要な役割を果たします。,取得するストレージの種類を決定する,購入するストレージの種類を決定することは、データベースのパフォーマンスにとって重要な考慮事項ですが、パフォーマンス最適化の一側面にすぎません。インデックス戦略、クエリの最適化、ハードウェア構成、データベース設計といった要素も、データベースのパフォーマンスに大きな影響を与えます。,2,6 Data Storage and Operations
334,データアーキテクトは、データをリアルタイムでランドスケープ全体に伝播させる必要があります。そのためには、以下のDMBoK知識領域を活用する必要があります。,データ アーキテクチャ、データ モデリングと設計、およびデータ セキュリティ。,この選択には、ランドスケープ全体にリアルタイムでデータを伝播するために不可欠な統合と相互運用性が含まれていません。データのモデリングと設計、そしてデータセキュリティは重要ですが、リアルタイムのデータ伝播に必要なすべての領域を網羅しているわけではありません。,データアーキテクチャ、メタデータ管理、データセキュリティ,データアーキテクチャとメタデータ管理は重要ですが、データセキュリティだけではリアルタイムでデータを伝播するには不十分です。統合と相互運用性という重要な要素が、この選択肢には欠けています。,「データ アーキテクチャ、統合と相互運用性、データの保存と操作」,正しい選択には、DMBoKの知識領域であるデータアーキテクチャ、統合と相互運用性、そしてデータの保存と運用が含まれます。リアルタイムでデータを伝播するには、データの構造、システム間のデータの流れ、そして運用におけるデータの保存と管理方法をしっかりと理解する必要があります。,データ アーキテクチャ、データ ガバナンス、メタデータ管理。,データガバナンスとメタデータ管理は重要ですが、リアルタイムのデータ伝播に必要な領域を網羅しているわけではありません。統合と相互運用性は、環境全体にわたってシームレスなデータフローを確保する上で不可欠です。,データ アーキテクチャ、データの品質とコンテンツ、およびドキュメント管理。,この選択には、データ品質とコンテンツ、ドキュメント管理が含まれますが、これらはリアルタイムのデータ伝播とは直接関係ありません。統合と相互運用性、そしてデータの保存と運用は、この特定の要件にとってより関連性の高い知識領域です。,3,4 Data Architecture
335,ハッシュとは何ですか?,エンコードされた値をデータに変換するアルゴリズム（またはその逆）,ハッシュとは、入力データを受け取り、固定サイズのバイト列（通常は16進数）を生成するアルゴリズムです。ハッシュは、エンコードされた値をデータに変換したり、その逆を行ったりするのによく使用され、入力データの一意な表現を提供します。,2つの秘密鍵を使用してデータをマスキングする,ハッシュ化は、2つの秘密鍵を用いてデータをマスキングするものではありません。入力データにハッシュ関数を適用し、一意の固定サイズの出力を生成します。この出力は、データの整合性検証やデジタル署名など、様々な目的に使用できます。,暗号化されたデータのクリアリングハウス,ハッシュは暗号化されたデータの情報交換所ではありません。入力データに基づいて固定サイズの出力を生成する一方向関数であり、データの検証や認証に役立ちます。,自由に利用可能で、受信者の秘密鍵とともにデータを暗号化するために使用される公開鍵,ハッシュは、受信者の秘密鍵と共にデータをエンコードするために使用される公開鍵ではありません。公開鍵と秘密鍵は通常、非対称暗号化で使用され、ハッシュ関数はデータの整合性と検証のために使用されます。,機密データをマスキングする方法,ハッシュは機密データをマスキングする手段ではありません。むしろ、データセットに一意の識別子を生成するために使用され、データの整合性検証やデジタル署名に役立ちます。,1,7 Data Security
336,オントロジーの最適な定義は次のどれですか?,生物の構造を整理する理論と科学,提供された定義は、オントロジーを正確に説明していません。オントロジーは、生物の構造に関する理論や科学とは関係がなく、特定の領域における知識と情報の整理に重点を置いています。,ある分野またはドメインにおける概念とカテゴリの集合であり、それらの特性と関係性を示す。,オントロジーとは、特定の分野またはドメインにおける概念、カテゴリ、プロパティ、および関係性を定義する知識の構造化された表現です。情報を整理し、特定のトピックに関する共通の理解を提供するのに役立ちます。,何かの分類,何かを分類することは、より広い概念であり、特定の基準に基づいて項目を分類することも含まれます。一方、オントロジーは、概念、特性、関係性など、特定の領域における知識の構造化された表現を指します。,古代ギリシャの神話上の生き物,古代ギリシャの神話上の生き物は、オントロジーの定義とは関係ありません。オントロジーとは、データ管理と知識表現の分野で用いられる用語であり、神話や民間伝承を指すものではありません。,迅速な検索と説明を可能にする用語索引,用語索引は情報検索に役立ちますが、オントロジーの全体像を捉えているわけではありません。オントロジーは、単に用語を列挙するだけでなく、特定の分野における概念の関係性や特性を定義することも含まれます。,2,9 Document and Content Management
337,データマイニングでは何が判明するのでしょうか?,データセット内の相関特徴を見つけるプロセス,データセット内の相関関係のある特徴を見つけることはデータ分析の一部ですが、データマイニングは単なる相関関係の特定にとどまりません。データに潜むパターン、異常値、傾向を発見し、予測を立て、意思決定に役立てることも含まれます。,データウェアハウス内のさまざまな操作の結果を記述するプロセス,データウェアハウスにおける操作結果の記述は、データマイニングというよりも、データレポートや分析に近いものです。データマイニングとは、予測モデリングや意思決定に活用できるパターンや関係性を発見するために、データを探索・分析することです。,大規模なデータセット内の異常、パターン、相関関係を見つけて結果を予測するプロセス,データマイニングとは、大規模なデータセットを分析し、将来の結果を予測するためのパターン、異常値、相関関係を発見するプロセスです。様々な手法とアルゴリズムを用いて、データから貴重な洞察を抽出します。,コンピュータを使用してデータを操作するプロセス,コンピュータを用いたデータの操作は一般的なデータ処理タスクであり、データマイニングのプロセスを指すものではありません。データマイニングは、単にデータを操作するだけでなく、データから洞察やパターンを発見することに重点を置いています。,組織がデータ資産を正式に管理し、より適切に制御できるようにするためにデータ要素を収集するプロセス,この選択は、データガバナンスとデータ管理の重要な側面であるデータ収集と管理のプロセスについて説明しています。しかし、データマイニングが具体的に何を決定するのか、つまりデータ内のパターンと関係性の発見を正確に定義していません。,3,14 Big Data and Data Science
338,データ検出の目標は次のどれですか?,データ統合の取り組みのための潜在的なデータソースを特定する,データディスカバリは、データ統合の取り組みで利用可能な潜在的なデータソースを特定することを目的としています。データがどこに存在し、どのようにアクセスできるかを検出し、理解することで、組織は統合プロセスを効率化し、関連するすべてのデータソースを確実に含めることができます。,自己完結型ソフトウェアモジュール間の相互作用が明確に定義されている,自己完結型のソフトウェアモジュール間の相互作用を明確に定義することは、データ検出の目的というよりも、ソフトウェアのアーキテクチャと設計に関係しています。データ検出は、ソフトウェアの相互作用を定義することよりも、データソースの特定とアクセスに主眼を置いています。,組織のビジネス目標を理解する,組織のビジネス目標を理解することはデータ管理の重要な側面ですが、データディスカバリの明確な目標ではありません。データイニシアチブをビジネス目標と整合させることは重要ですが、データディスカバリの主眼はデータソースの特定とアクセスにあります。,人間とシステムの両方のデータ利用者が必要とする形式と時間枠でデータを利用できるようにする,データ利用者が必要とする形式と時間枠でデータを利用できるようにすることは、データ管理の重要な側面ですが、データディスカバリの主目的ではありません。データディスカバリは、利用者にとってのデータ可用性を確保することよりも、データソースの識別とアクセスに重点を置いています。,データの品質評価,データ品質の評価はデータ管理プロセスにおいて不可欠なステップですが、データディスカバリの主目的ではありません。データディスカバリは、データ自体の品質を評価することよりも、データソースの特定と位置特定に重点を置いています。,1,8 Data Integration & Interoperability
339,DAMA DMBoKによれば、データライフサイクルのどの部分がSDLCの不可欠な部分であるか,指定、有効化、作成、取得,DAMA DMBoKによれば、仕様策定、有効化、作成と取得の各段階は、SDLCの不可欠な要素であるデータライフサイクルの構成要素とは一致しません。これらの段階は、ソフトウェア開発ライフサイクルと具体的に整合しているというよりも、データ要件の定義、データアクセスの有効化、データの作成または取得に重点を置いています。,指定、維持と使用、削除,仕様策定、保守と利用、そしてパージの各段階は、DAMA DMBoK によれば SDLC にリンクされているデータライフサイクルの不可欠な要素とは対応していません。データ要件の仕様策定とデータの保守は重要ですが、パージ段階は通常、ソフトウェア開発ライフサイクルの中核を成すものではありません。,計画、作成と取得、削除,計画、作成と取得、そしてパージという段階は、DAMA DMBoKに記載されているSDLCに関連するデータライフサイクルの不可欠な要素とは一致しません。計画とデータの作成／取得は重要ですが、パージ段階は通常、ソフトウェア開発ライフサイクルの中核部分とは見なされていません。,有効化、維持と使用、アーカイブと取得,有効化、保守と利用、アーカイブと取得の各段階は、DAMA DMBoKで概説されているSDLCの不可欠な要素であるデータライフサイクルの不可欠な要素とは一致していません。データアクセスの有効化とデータの保守は重要ですが、アーカイブと取得段階は、通常、ソフトウェア開発ライフサイクルの中核部分とは見なされていません。,計画、指定、有効化,DAMA DMBoKによると、データライフサイクルのうちSDLCに不可欠な要素には、計画、仕様策定、有効化が含まれます。これらの段階には、データ管理の計画、データ要件の仕様策定、そしてソフトウェア開発ライフサイクルにおけるデータへのアクセスと利用の有効化が含まれます。なお、これはDMBOKバージョン1に関する質問です。,5,1 Data Management
340,データ取り扱いの倫理は、いくつかの中核概念に基づいています。それらは以下のとおりです。,正確なビジネス用語集、データ品質、参照データ。,正確なビジネス用語集、データ品質、そして参照データは、効果的なデータ管理に不可欠な要素ですが、データ倫理の中核概念とは具体的には関連していません。これらの要素はデータガバナンスと整合性に貢献しますが、データ取り扱いにおける倫理的配慮を網羅しているわけではありません。,プライバシー、セキュリティ、認証。,プライバシー、セキュリティ、そして認証は、データセキュリティとガバナンスの重要な側面ですが、データ倫理の中核概念を完全に捉えているわけではありません。プライバシーとセキュリティはデータ保護において重要ですが、倫理的なデータ取り扱いは、これらの要素を超えて、個人と社会へのより広範な影響を考慮します。,データへのアクセス、不正使用の可能性、およびストレージコスト。,データへのアクセス、不正使用の可能性、そして保管コストはデータ管理において重要な考慮事項ですが、データ倫理の中核概念を網羅しているわけではありません。アクセス制御と保管コストは関連する要素ではありますが、データ取り扱いの倫理的影響に直接的に言及するものではありません。,人々への影響、誤用の可能性、経済的価値。,データ倫理の中核概念は、データの取り扱いが人々に与える影響、データの誤用の可能性、そしてデータに関連する経済的価値に焦点を当てています。これらの概念を理解することは、倫理的なデータ慣行を確保し、個人の権利とプライバシーを保護するために不可欠です。,で,で,4,2 Data Handling Ethics
341,列を個人情報としてタグ付けする例:,メタデータ,列を個人識別情報としてタグ付けすることは、メタデータのカテゴリに該当します。メタデータは、データの構造、形式、意味など、データに関する情報を提供します。列を個人識別情報としてタグ付けすることで、メタデータはデータベース内の機密データを識別および管理するのに役立ちます。,データ品質,データ品質は、データの正確性、完全性、一貫性に関係します。列を個人識別情報としてタグ付けすることは、データ品質を維持し、プライバシー規制へのコンプライアンスを確保する上で不可欠ですが、データの整合性と信頼性といったより広範な側面を網羅するデータ品質向上の取り組みにおいては、これが主要な焦点ではありません。,データプロファイリング,データプロファイリングは、データの品質、構造、内容を理解するためにデータを分析するプロセスです。列を個人識別情報としてタグ付けすることは、データの機密性を理解することに関連しますが、データプロファイリングのプロセスとは直接関係がありません。データプロファイリングのプロセスは、データ品質の評価に重点を置いています。,データアーキテクチャ,データアーキテクチャとは、データベース、データモデル、データフローなど、組織内のデータの設計と構造を指します。列を個人識別情報としてタグ付けすることはデータ管理の一部ですが、より広範なデータアーキテクチャの概念というよりも、メタデータ管理に特化した概念です。,データ辞書,データディクショナリには通常、データベース内のデータ要素に関する詳細な情報（名前、説明、データ型など）が含まれます。列を個人識別情報としてタグ付けすることは、データ特性の文書化を伴うものの、包括的なデータディクショナリというよりは、メタデータに特化したものです。,1,12 Metadata
342,マスターデータ管理の導入における最大の課題は,情報源間の差異,マスターデータ管理の導入における最大の課題は、多くの場合、ソース間の不一致です。これは、異なるシステムや部門から取得されるデータに不整合や統一性の欠如が生じ、組織全体にわたるマスターデータの正確な単一ビューを作成することが困難になることを指します。,組織内のマスターデータの要件の定義,組織内のマスターデータ要件の定義は、マスターデータ管理の導入において不可欠なステップですが、必ずしも最大の課題ではありません。要件が定義された後、課題となるのは、実際にマスターデータを効果的に統合・管理することです。,DBAにテーブル構造を提供してもらうことができない,DBAからテーブル構造を提供できないことは、マスターデータ管理の実装において課題となる可能性がありますが、通常は最大の課題ではありません。基盤となるデータベース構造を理解することは重要ですが、主な課題は、さまざまなソースからのデータを調和させ、統合することです。,複雑なクエリ,マスターデータ管理の実装においては、特に大量のデータや複雑なデータ関係を扱う際に、複雑なクエリが発生することがあります。しかし、通常はそれが最大の課題となるわけではありません。主な課題は、多様なソースからデータを調整・統合し、マスターデータの正確な単一ビューを作成することにあります。,インデックスと外部キー,インデックスと外部キーはデータベース設計と最適化において重要な要素ですが、マスターデータ管理の実装において最大の課題となることは通常ありません。データの整合性とパフォーマンスの確保は重要ですが、最大の課題は、分散したデータソースを統合し管理することです。,1,10 Reference & Master Data
343,「DMBOK 環境要因六角形」は、以下の関係を示します。,ビジネス、アプリケーション、テクノロジーアーキテクチャ,「DMBOK環境要因六角形」に描かれた関係は、ビジネス、アプリケーション、テクノロジーアーキテクチャに特に焦点を当てたものではありません。これらの要素はデータ管理に関連している場合もありますが、この六角形は、人、プロセス、テクノロジーといったより広範な側面に関係しています。,人、プロセス、テクノロジー。,「DMBOK環境要因六角形」は、データ管理における人、プロセス、テクノロジーの相互関係を示しています。この六角形は、成功するデータ管理環境を構築するには、これら3つの要素を総合的に考慮することの重要性を強調しています。,DMBOK 知識領域。,「DMBOK環境要因六角形」は、DMBOKの知識領域を直接的に表すものではありません。むしろ、効果的なデータ管理プラクティスにおける重要な要素として、人、プロセス、テクノロジーの関係性を強調しています。,人、ソフトウェア、ツール。,データ管理において、人、ソフトウェア、ツールは重要な要素ですが、「DMBOK環境要因六角形」は、人、プロセス、テクノロジーの関係を特に強調しています。この区別は、データ管理への包括的なアプローチを理解する上で非常に重要です。,入力、活動、成果物。,「DMBOK環境要因六角形」は、入力、活動、成果物に焦点を当てるのではなく、人、プロセス、テクノロジーといったより広範な側面と、それらがデータ管理の文脈の中でどのように相互作用するかに焦点を当てています。,2,1 Data Management
344,アプリケーションは、すべてのデータベースアクセスに単一のサービスアカウントを使用します。このアプローチには、次のようなリスクがあります。,データベースのスレッドが不足する,データベースのスレッド数が不足するリスクは、データベースアクセスに単一のサービスアカウントを使用することと直接関係するものではありません。スレッド管理とリソース割り当ては通常、データベースサーバーレベルで制御され、サービスアカウントの数の影響を受けません。,データが乱れる,データベースアクセスに単一のサービスアカウントを使用することで、データの順序が乱れるという問題が発生することはありません。データの整合性と一貫性の問題は、不適切なデータ処理、制約の欠如、または同時実行制御メカニズムに起因する可能性が高くなります。,アプリケーションがより頻繁にフリーズします。,すべてのデータベースアクセスに単一のサービスアカウントを使用することは、アプリケーションのフリーズの頻度に直接影響を与えるものではありません。アプリケーションのフリーズは、コードの品質、リソースの割り当て、システムパフォーマンスの問題など、他の要因に関連している可能性が高くなります。,アプリケーションが並列プロセスを実行することを制限します,データベース アクセスに単一のサービス アカウントを使用すると、アプリケーションが並列プロセスを効率的に実行できなくなる可能性がありますが、このアプローチに関連する主なリスクは、並列処理の制限ではなく、データ変更の説明責任と追跡可能性の欠如です。,誰がデータに変更を加えたかを追跡する機能。,すべてのデータベースアクセスに単一のサービスアカウントを使用すると、誰がデータに変更を加えたかを追跡することが困難になります。個別のユーザーアカウントがなければ、変更やデータ侵害の責任者を特定することが困難になります。,5,7 Data Security
345,プライバシーと機密性に関する利害関係者の要件は、,データアーキテクチャ,データアーキテクチャは、組織内のデータの設計、構造、および組織化を扱います。プライバシーと機密性の要件はデータアーキテクチャの決定に影響を与える可能性がありますが、それらはデータアーキテクチャにおける主要な目標ではありません。,メタデータ管理,メタデータ管理には、データ資産を記述するためのメタデータの作成、維持、および使用が含まれます。メタデータにはプライバシーや機密保持要件に関する情報が含まれる場合もありますが、それらはメタデータ管理における主な目標ではありません。,ドキュメントとコンテンツの管理,ドキュメントおよびコンテンツ管理は、組織内のドキュメントとコンテンツの整理、保管、検索、および管理に重点を置いています。プライバシーと機密性はドキュメント管理において重要な要素ではありますが、この分野における主要な目標ではありません。,データ品質,データ品質は、データがその用途において正確、完全、かつ信頼できるものであることを保証することに重点を置きます。プライバシーと機密性の維持はデータ品質にとって重要ですが、データ品質向上への取り組みにおいて、それらは特に主要な目標ではありません。,データセキュリティ,データセキュリティとは、データへの不正アクセス、使用、開示、妨害、改ざん、破壊からデータを保護することを意味します。プライバシーと機密性の要件は、機密情報が安全に保管され、許可された個人のみがアクセスできるようにするためのデータセキュリティにおける重要な目標です。,5,7 Data Security
346,DMBoKは、情報資産のライフサイクルにおける一般的な段階として以下のうちどれを特定しますか？,構築/購入、混合/統合、適用、削除,選択肢Eの段階は、DMBoKに基づく情報資産ライフサイクルの一般的な段階とは対応していません。構築／購入、混合／統合、適用、削除といった段階は、情報資産のライフサイクル全体にわたる管理に必要なすべての側面を網羅しているわけではありません。,計画、指定、有効化、作成と取得、維持と使用、アーカイブと取得、削除,選択肢Aで特定された段階は、データ管理知識体系（DMBoK）に概説されている情報資産ライフサイクルの一般的な段階と一致しています。これらの段階には、計画、仕様策定、有効化、作成と取得、維持と利用、アーカイブと取得、そしてパージが含まれ、情報資産のライフサイクル全体を網羅しています。,取得、統合、適用、共有、廃棄,選択肢Dの段階は、DMBoKに概説されている情報資産ライフサイクルの一般的な段階を反映していません。取得や統合といった段階は含まれていますが、計画、仕様策定、有効化、保守、アーカイブ、パージといった重要な段階が欠けています。,入手、保管、修正、使用、削除,選択肢Cの段階は、DMBoKに基づく情報資産ライフサイクルの一般的な段階を正確に表していません。取得、保管、修正、使用、消去という段階は、情報資産のライフサイクル全体にわたる管理に必要なすべての側面を網羅しているわけではありません。,計画、取得、保管/共有、維持、適用、廃棄,選択肢Bの段階は、DMBoKで定義されている情報資産ライフサイクルの一般的な段階と完全には一致していません。計画、維持、廃棄といった段階は含まれていますが、仕様策定、有効化、作成と取得、アーカイブ、パージといった重要な段階が欠けています。,2,1 Data Management
347,データガバナンス・プログラムを検討する際には、コミュニケーションが重要な要素となります。このコミュニケーションを管理する方法は数多くありますが、最も効果的な方法の一つはデータ管理イントラネットです。以下のうち、通常、このようなコミュニケーションツールに組み込まないものはどれですか？,「問題を提起する」ログへのリンク。,データ管理イントラネットに「問題提起」ログへのリンクを提供することで、従業員はデータに関する懸念や問題に遭遇した場合に報告しやすくなります。これにより、データ管理業務における透明性、説明責任、そして継続的な改善を促進する文化が促進されます。,DG組織、主要メンバー、連絡先の詳細,データ管理イントラネットに、データガバナンス組織、主要メンバー、連絡先の詳細を掲載することは、透明性とアクセシビリティを確保するために不可欠です。従業員が組織の構造を理解し、データ関連の問題や問い合わせの際に誰に連絡すればよいかを知るのに役立ちます。,データスチュワードチームのプロフィール,データ管理イントラネットには、データスチュワードチームのプロフィールを掲載し、組織内のデータ資産の監視と管理を担当する担当者を紹介する必要があります。この情報は、データガバナンスの責任範囲を明確にし、その責任範囲の可視性を高めるのに役立ちます。,重要なデータ管理問題に関する経営幹部からのメッセージ,重要なデータ管理上の課題に関する経営幹部からのメッセージは、データガバナンス・プログラムにおける重要な進展や決定事項について、すべてのステークホルダーに情報を提供するために不可欠です。これにより、プログラムの方向性と優先事項が明確になり、経営陣の連携と支援が促進されます。,データプライバシー侵害の可能性に関する調査の生データ結果,データプライバシー侵害の可能性に関する調査の生データは、調査の機密性とセキュリティを損なう可能性があるため、データ管理部門のイントラネットに公開しないでください。このような機密情報は、不正アクセスや漏洩を防ぐため、安全かつ管理されたチャネルを通じて取り扱い、伝達する必要があります。,5,3 Data Governance
